Date,Average air temp (°C),RH (%),Average wind dirn (deg),Average wind speed (km/h),Total daily precipitation (mm)
DATETIME,TEMP,RH,WD,WS,PRECIP
1/01/2013 12:00,20.2,50,133,5.5,0
2/01/2013 12:00,20.9,58,183,4.4,0
3/01/2013 12:00,16.4,69,357,2.6,3.4
4/01/2013 12:00,17.4,43,12,3.8,0
5/01/2013 12:00,22.8,38,184,2.9,0
6/01/2013 12:00,24.6,39,272,4.1,0
7/01/2013 12:00,27,55,175,5.3,0
8/01/2013 12:00,18,63,69,4.5,0
9/01/2013 12:00,21.2,65,126,3.6,0
10/01/2013 12:00,23.1,62,208,4.1,0
11/01/2013 12:00,22,67,212,3.9,0
12/01/2013 12:00,25,35,158,4.1,0
13/01/2013 12:00,23.8,65,132,3.5,0
14/01/2013 12:00,18.5,97,188,4.2,3.4
15/01/2013 12:00,16.8,88,269,4,3.7
16/01/2013 12:00,17.8,66,35,4.7,9.1
17/01/2013 12:00,16,63,128,6,0.8
18/01/2013 12:00,16.2,49,122,4.5,1.3
19/01/2013 12:00,17.5,56,36,4.6,0
20/01/2013 12:00,25.1,57,166,4,0
21/01/2013 12:00,23.1,54,217,1.3,0
22/01/2013 12:00,22.6,42,NA,7.7588,NA
23/01/2013 12:00,22.7,49,160,2.6,0
24/01/2013 12:00,22.8,49,339,3.6,0
25/01/2013 12:00,22.6,48,174,2.9,0
26/01/2013 12:00,21.6,36,161,3.1,0
27/01/2013 12:00,21.9,42,233,1.9,0
28/01/2013 12:00,25.1,31,214,1.5,0
29/01/2013 12:00,27.4,21,149,1.6,0
30/01/2013 12:00,24.3,45,227,2.2,0
31/01/2013 12:00,22.5,53,26,2.2,0
1/02/2013 12:00,23.1,46,39,2.2,0
2/02/2013 12:00,23.6,48,341,2.9,0
3/02/2013 12:00,23.4,52,206,2.7,0
4/02/2013 12:00,21.2,78,264,5.4,0.5
5/02/2013 12:00,18.5,74,140,1.7,22.3
6/02/2013 12:00,17.8,43,260,2.6,2.9
7/02/2013 12:00,18.9,51,43,3.1,0
8/02/2013 12:00,22.2,54,151,2.3,0
9/02/2013 12:00,22.7,47,166,4,0
10/02/2013 12:00,23.9,51,120,2.5,0
11/02/2013 12:00,22.7,52,166,3.5,0
12/02/2013 12:00,20.8,55,142,0.7,0
13/02/2013 12:00,19.8,72,131,4.8,0
14/02/2013 12:00,20.4,44,64,3.1,0.5
15/02/2013 12:00,20.8,53,67,3.7,0
16/02/2013 12:00,20.9,60,213,3.4,0
17/02/2013 12:00,23.2,48,210,2.2,0
18/02/2013 12:00,22.9,52,64,2.8,0
19/02/2013 12:00,25.1,43,259,2.2,0
20/02/2013 12:00,24.6,40,335,2.3,0
21/02/2013 12:00,25.4,43,187,0.6,0
22/02/2013 12:00,23.2,44,184,3.6,0
23/02/2013 12:00,22.2,44,167,2,0
24/02/2013 12:00,22,36,203,2.6,0
25/02/2013 12:00,23,38,225,3.1,0
26/02/2013 12:00,22.7,40,170,1.4,0
27/02/2013 12:00,23,43,200,2.3,0
28/02/2013 12:00,19.9,49,299,2.6,0
1/03/2013 12:00,25,45,283,2.1,0
2/03/2013 12:00,25,51,161,3.5,0
3/03/2013 12:00,22.7,52,336,1.5,0
4/03/2013 12:00,19.5,54,359,5,0
5/03/2013 12:00,17,66,263,3.9,1
6/03/2013 12:00,20.1,51,87,5.4,0
7/03/2013 12:00,24,39,174,2.7,0
8/03/2013 12:00,23.6,48,306,3.4,0
9/03/2013 12:00,22.7,35,155,3.5,0
10/03/2013 12:00,24,39,182,3.4,0
11/03/2013 12:00,27.2,18,149,1.4,0
12/03/2013 12:00,22.8,37,176,2,0
13/03/2013 12:00,23,50,178,3.2,0
14/03/2013 12:00,23,54,306,2.9,0
15/03/2013 12:00,22.6,51,163,1.2,0
16/03/2013 12:00,21.2,55,181,3.1,0
17/03/2013 12:00,19,82,27,3.5,0.9
18/03/2013 12:00,20.3,85,144,5.3,14.2
19/03/2013 12:00,19.8,67,37,5.2,6.6
20/03/2013 12:00,18.1,59,155,3.2,9.1
21/03/2013 12:00,18.1,48,219,2.3,0
22/03/2013 12:00,18.6,52,26,1.8,0
23/03/2013 12:00,20,52,86,1.3,0
24/03/2013 12:00,20.9,45,139,2,0
25/03/2013 12:00,20.6,46,272,1.9,0
26/03/2013 12:00,21.5,45,302,2.1,0
27/03/2013 12:00,22.9,47,168,1.9,0
28/03/2013 12:00,22.6,54,198,2,0
29/03/2013 12:00,21.7,50,202,2.7,0
30/03/2013 12:00,18.9,70,241,1.5,0
31/03/2013 12:00,21.1,68,154,4.3,0
1/04/2013 12:00,19.7,70,2,2.5,3.9
2/04/2013 12:00,21.9,58,248,3.5,0
3/04/2013 12:00,21.2,68,229,4,0
4/04/2013 12:00,15.2,93,61,1.6,9.1
5/04/2013 12:00,17.7,55,242,2,0
6/04/2013 12:00,15.3,58,141,2.4,0
7/04/2013 12:00,15,44,357,3.1,0
8/04/2013 12:00,16.1,44,92,1.8,0
9/04/2013 12:00,17.9,49,351,2.6,0
10/04/2013 12:00,16.4,46,201,1.2,0
11/04/2013 12:00,15.4,65,103,3.7,0
12/04/2013 12:00,17.5,74,153,3.7,0.3
13/04/2013 12:00,20.9,57,208,2.4,0
14/04/2013 12:00,20.3,39,253,3,0
15/04/2013 12:00,17.4,70,50,2.6,0.6
16/04/2013 12:00,16.6,91,146,1.7,9.8
17/04/2013 12:00,18,90,276,5.8,11.3
18/04/2013 12:00,16.7,72,7,2.9,4.7
19/04/2013 12:00,15.3,72,305,0.4,0.3
20/04/2013 12:00,16.2,80,177,1.4,6.3
21/04/2013 12:00,17.1,85,48,1.9,13.7
22/04/2013 12:00,17.3,82,225,3.6,44
23/04/2013 12:00,16.5,79,178,3.7,0.3
24/04/2013 12:00,14.5,93,218,4.4,7
25/04/2013 12:00,15.5,74,107,4.2,21
26/04/2013 12:00,13.3,94,298,1,3.7
27/04/2013 12:00,17.4,69,121,4.7,2.8
28/04/2013 12:00,17.7,68,102,3.2,0
29/04/2013 12:00,18,65,57,3.7,0
30/04/2013 12:00,17.8,81,155,3.4,0
1/05/2013 12:00,16.1,61,197,2.9,0.3
2/05/2013 12:00,16.2,72,312,3.2,0
3/05/2013 12:00,17.1,77,167,1.6,1
4/05/2013 12:00,18.4,66,122,1.7,0
5/05/2013 12:00,16,79,268,3.5,18.4
6/05/2013 12:00,11.6,94,266,5.2,27.2
7/05/2013 12:00,15.3,61,247,3.2,4.1
8/05/2013 12:00,15.8,59,112,1.2,0
9/05/2013 12:00,14.5,79,189,0.6,0
10/05/2013 12:00,12.3,90,284,1.8,0.3
11/05/2013 12:00,12.3,56,257,6.7,3.4
12/05/2013 12:00,14.1,65,301,2.2,0
13/05/2013 12:00,19.7,62,269,0.5,0.3
14/05/2013 12:00,18.3,69,191,2.8,0.3
15/05/2013 12:00,16.3,67,260,1.2,0
16/05/2013 12:00,18,60,157,1.4,0
17/05/2013 12:00,14.8,80,40,1.7,0.3
18/05/2013 12:00,13.8,98,170,2.3,22.1
19/05/2013 12:00,13.4,91,235,4.7,9.5
20/05/2013 12:00,14.7,82,187,3,5
21/05/2013 12:00,12.4,89,183,1.4,0.3
22/05/2013 12:00,13.9,88,208,3.5,0.9
23/05/2013 12:00,11.3,91,8,3,9.5
24/05/2013 12:00,12.4,59,133,1.3,0.3
25/05/2013 12:00,11.8,89,51,0.5,0
26/05/2013 12:00,13.2,78,28,3.9,38.2
27/05/2013 12:00,13.1,76,153,4.6,0.3
28/05/2013 12:00,7.9,83,161,4.2,8.8
29/05/2013 12:00,7.5,62,327,3.8,0
30/05/2013 12:00,10.5,66,229,2,0
31/05/2013 12:00,9.5,97,181,3.2,0.3
1/06/2013 12:00,13.1,83,132,2,0
2/06/2013 12:00,11.7,86,183,1.4,0
3/06/2013 12:00,10.3,73,124,1.8,0
4/06/2013 12:00,11.7,93,54,1.5,0.9
5/06/2013 12:00,14,69,202,5,25.2
6/06/2013 12:00,9.7,66,238,4.2,0
7/06/2013 12:00,13.3,60,189,2.7,0
8/06/2013 12:00,14,57,47,2.5,0
9/06/2013 12:00,8.5,96,321,1.3,12.2
10/06/2013 12:00,10.7,86,222,1.6,22.2
11/06/2013 12:00,13.3,83,305,3.1,0.3
12/06/2013 12:00,15.4,78,19,1.9,0.3
13/06/2013 12:00,11.6,80,86,1.6,0.3
14/06/2013 12:00,12.9,65,153,2.8,1.4
15/06/2013 12:00,8.7,82,176,0.6,0
16/06/2013 12:00,12.2,96,12,1.4,7.9
17/06/2013 12:00,10.6,98,98,1.2,36.4
18/06/2013 12:00,14.7,90,228,5.9,22
19/06/2013 12:00,11,94,215,3.1,23.4
20/06/2013 12:00,5.2,89,76,4.2,32.9
21/06/2013 12:00,7.1,75,13,7.6,5.7
22/06/2013 12:00,9.2,68,328,3.2,0
23/06/2013 12:00,5.6,95,83,0.8,0.3
24/06/2013 12:00,8.6,71,201,1.6,0
25/06/2013 12:00,8.3,94,200,2.1,0.3
26/06/2013 12:00,10,74,279,2.6,0.6
27/06/2013 12:00,7.1,75,180,4.2,0
28/06/2013 12:00,10.5,62,248,3.8,0
29/06/2013 12:00,9.4,62,313,1.4,0
30/06/2013 12:00,7.8,95,213,1.8,0.9
1/07/2013 12:00,9.5,97,133,2.9,0.9
2/07/2013 12:00,11.5,76,223,3.2,0.8
3/07/2013 12:00,9.6,89,167,2.3,0.3
4/07/2013 12:00,13.4,84,245,1.9,6.5
5/07/2013 12:00,12.6,90,318,1.3,0
6/07/2013 12:00,13.9,74,170,4.4,0.3
7/07/2013 12:00,11,90,204,2.9,1.4
8/07/2013 12:00,8.8,77,52,2,3.1
9/07/2013 12:00,8.9,72,37,1.6,0.3
10/07/2013 12:00,7.8,91,342,1.5,8
11/07/2013 12:00,10.6,71,177,1.3,0.6
12/07/2013 12:00,11.4,72,97,1.4,4.8
13/07/2013 12:00,7.5,89,253,3.7,0.8
14/07/2013 12:00,10,76,53,4.9,0.3
15/07/2013 12:00,7.2,58,6,4.2,0
16/07/2013 12:00,8,76,159,1,0.3
17/07/2013 12:00,10,72,36,3.9,0
18/07/2013 12:00,10.9,75,30,3.5,0
19/07/2013 12:00,11.7,66,340,4,0
20/07/2013 12:00,10.8,97,206,1.5,3.3
21/07/2013 12:00,10.8,80,289,1.5,0.3
22/07/2013 12:00,12.1,76,82,0.5,0.3
23/07/2013 12:00,9.9,78,214,1.3,0
24/07/2013 12:00,9,98,208,2.3,2.6
25/07/2013 12:00,11.5,85,134,4.3,3.7
26/07/2013 12:00,10.4,78,19,3.9,0
27/07/2013 12:00,11.4,68,29,3.5,0
28/07/2013 12:00,11.4,73,12,2.5,0
29/07/2013 12:00,12.2,65,112,0.4,0.3
30/07/2013 12:00,12.1,67,285,1.7,0
31/07/2013 12:00,10.9,73,176,1.2,0.3
1/08/2013 12:00,11.1,76,79,0.5,0
2/08/2013 12:00,12.4,75,191,4.1,0.5
3/08/2013 12:00,14.6,64,196,3.5,0
4/08/2013 12:00,15.5,67,231,1.7,0
5/08/2013 12:00,14.7,82,210,2.5,0
6/08/2013 12:00,12.6,81,132,4.3,1.9
7/08/2013 12:00,12,85,121,3.6,0
8/08/2013 12:00,14.7,71,216,3.6,0
9/08/2013 12:00,13,76,181,1.9,0.3
10/08/2013 12:00,12.5,87,176,0.9,0
11/08/2013 12:00,12.3,84,357,2.3,2
12/08/2013 12:00,10.9,72,81,4.2,4.1
13/08/2013 12:00,12.4,67,103,5.8,1.9
14/08/2013 12:00,11.2,70,98,3.8,8
15/08/2013 12:00,12.2,70,104,3.1,0.5
16/08/2013 12:00,12.1,73,38,2.7,0.3
17/08/2013 12:00,11.8,82,252,3.6,28.3
18/08/2013 12:00,15.7,60,210,1.1,0
19/08/2013 12:00,12.2,79,183,2.6,0.3
20/08/2013 12:00,11.7,64,117,0.6,2.3
21/08/2013 12:00,11.2,77,4,4.2,0.3
22/08/2013 12:00,13.8,80,223,2.1,30.9
23/08/2013 12:00,10.4,83,95,0.7,0.6
24/08/2013 12:00,11.9,78,208,2.8,0.3
25/08/2013 12:00,12.2,90,94,0.5,1
26/08/2013 12:00,12.2,85,192,4.1,5.7
27/08/2013 12:00,11.6,78,165,0.9,1.5
28/08/2013 12:00,12.1,90,160,2.8,0.5
29/08/2013 12:00,10.3,91,232,3,0.6
30/08/2013 12:00,10.6,66,257,4.7,29.3
31/08/2013 12:00,11,59,242,4.3,0
1/09/2013 12:00,12.5,60,223,3.2,0
2/09/2013 12:00,14.1,55,211,2.7,0
3/09/2013 12:00,13.4,54,106,1.7,0
4/09/2013 12:00,8.6,91,158,4.2,0
5/09/2013 12:00,12.3,55,185,3.3,8
6/09/2013 12:00,12.2,47,252,2.3,0
7/09/2013 12:00,11.7,89,133,0.8,0
8/09/2013 12:00,13.8,68,111,5,2.1
9/09/2013 12:00,10.7,79,31,3.1,2.6
10/09/2013 12:00,12.4,84,174,5.7,0.5
11/09/2013 12:00,12.8,97,164,7.4,5.4
12/09/2013 12:00,12.8,99,169,3.9,68.3
13/09/2013 12:00,14.9,71,149,3.6,15.8
14/09/2013 12:00,9.9,71,40,4.6,5.8
15/09/2013 12:00,11.5,57,81,3.4,0.3
16/09/2013 12:00,13.7,58,167,1.4,0
17/09/2013 12:00,12.1,59,209,4.3,0
18/09/2013 12:00,11.8,49,200,0.7,0
19/09/2013 12:00,10.3,72,246,3.5,0
20/09/2013 12:00,13.5,98,182,6,29.7
21/09/2013 12:00,14.8,92,223,7.2,9
22/09/2013 12:00,14.5,86,215,3.6,19.2
23/09/2013 12:00,14,84,233,4,1.6
24/09/2013 12:00,13.1,85,186,2.7,0
25/09/2013 12:00,17.8,79,207,1,15.7
26/09/2013 12:00,13.4,80,58,3.6,1.8
27/09/2013 12:00,15.4,69,129,6.4,0
28/09/2013 12:00,12.7,76,145,6,3.7
29/09/2013 12:00,12.5,73,149,5.6,1.4
30/09/2013 12:00,11.6,86,158,6.2,13
1/10/2013 12:00,15.7,62,19,2.8,2.1
2/10/2013 12:00,15.6,73,179,3.8,0
3/10/2013 12:00,16.1,71,202,3.3,0.3
4/10/2013 12:00,18.2,75,163,4.4,0
5/10/2013 12:00,21,50,135,1.4,0.3
6/10/2013 12:00,19.3,60,181,2.6,0
7/10/2013 12:00,15.8,62,337,3.5,0
8/10/2013 12:00,15.1,71,234,4.6,0
9/10/2013 12:00,10,93,43,4.1,16.7
10/10/2013 12:00,13.3,68,178,4.6,1.3
11/10/2013 12:00,13.6,96,136,7.5,23.6
12/10/2013 12:00,11.8,70,54,6.3,28.1
