Sampling date,Transect ID,Plot ID,Transect-Plot ID,Latitude of the exact sampling point,Longitude of the exact sampling point,Point measurement exactly at the sampling point: Speies of the plant,Point measurement exactly at the sampling point: maximum height of the plant (cm),Measurement inside one-meter radius around the sampling point: Median live gorse height (cm),Measurement inside one-meter radius around the sampling point: Live gorse percent cover (%),Measurement inside one-meter radius around the sampling point: Other species1 - name,Measurement inside one-meter radius around the sampling point: Median other species1 - height,Measurement inside one-meter radius around the sampling point: Other species1 - percent cover (%),Measurement inside one-meter radius around the sampling point: Other species2 - name,Measurement inside one-meter radius around the sampling point: Median other species2 - height,Measurement inside one-meter radius around the sampling point: Other species2 - percent cover (%),Measurement inside one-meter radius around the sampling point: Other species3 - name,Measurement inside one-meter radius around the sampling point: Median other species3 - height,Measurement inside one-meter radius around the sampling point: Other species3 - percent cover (%),Measurement inside one-meter radius around the sampling point: Other species4 - name,Measurement inside one-meter radius around the sampling point: Median other species4 - height,Measurement inside one-meter radius around the sampling point: Other species4 - percent cover (%),Measurement inside one-meter radius around the sampling point: Median grass height (cm),Measurement inside one-meter radius around the sampling point: Grass percent cover (%),Measurement inside one-meter radius around the sampling point: Moss percent cover (%),Measurement inside one-meter radius around the sampling point: Litter percetn cover (%),Measurement inside one-meter radius around the sampling point: Bare earth percent cover (%),Measurement inside one-meter radius around the sampling point: Median dead gorse height (cm),Measurement inside one-meter radius around the sampling point: Dead gorse percent cover (5),Measurement inside one-meter radius around the sampling point: Median of all gorse (live and dead combined) height,Measurement inside one-meter radius around the sampling point: All gorse (live and dead combined) percent cover
DATE,TRANSECT,PLOT,ID,LAT,LONG,PT.SP,PT.HT,LGORSE.HT,LGORSE.PERC,OTHER1.SP,OTHER1.HT,OTHER1.PERC,OTHER2.SP,OTHER2.HT,OTHER2.PERC,OTHER3.SP,OTHER3.HT,OTHER3.PERC,OTHER4.SP,OTHER4.HT,OTHER4.PERC,GRASS.HT,GRASS.PERC,MOSS.PERC,LITTER.PERC,BE.PERC,DGORSE.HT,DGORSE.PERC,GORSE.HT,GORSE.PERC
14/06/2018,T1,1,T1-p1,-43.40323168,171.5607624,gorse,43,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,100,NA,NA,NA,NA,NA,NA,NA
14/06/2018,T1,2,T1-p2,-43.4034113,171.5609535,gorse,51,70,50,dead gorse,60,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,90,NA,10,NA,60,5,69.09090909,55
14/06/2018,T1,3,T1-p3,-43.40358362,171.5611489,gorse,61,98,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,20,15,40,25,NA,NA,NA,NA
14/06/2018,T1,4,T1-p4,-43.40375564,171.5613478,gorse,15,32,50,dead gorse,19,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,30,20,8,2,19,5,30.81818182,55
14/06/2018,T1,5,T1-p5,-43.40394197,171.5615497,gorse,84,78,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,25,NA,NA,NA,NA,NA,NA,NA
14/06/2018,T1,6,T1-p6,-43.40410722,171.5617465,gorse,112,120,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,30,NA,NA,NA,NA,NA,NA,NA
14/06/2018,T1,7,T1-p7,-43.40428006,171.5619417,grass,12,53,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,35,NA,10,NA,NA,NA,NA,NA
14/06/2018,T1,8,T1-p8,-43.40445527,171.5621343,gorse,71,82,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,25,NA,10,NA,NA,NA,NA,NA
14/06/2018,T1,9,T1-p9,-43.40479366,171.5625388,gorse,52,81,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,30,NA,15,NA,NA,NA,NA,NA
